pick,team,team_img,player,player_details,source,url_path,date
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Arvell Reese,"LB, Ohio State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
3,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Rueben Bain,"EDGE, Miami (FL)",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Carnell Tate,"WR, Ohio State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Jordyn Tyson,"WR, Arizona State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Spencer Fano,"OT, Utah",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,Caleb Downs,"S, Ohio State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
8,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,David Bailey,"EDGE, Texas Tech",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Francis Mauigoa,"OT, Miami (FL)",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,Keldric Faulk,"EDGE, Auburn",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Mansoor Delane,"CB, LSU",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Jermod McCoy,"CB, Tennessee",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
13,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Makai Lemon,"WR, USC",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
14,Baltimore Ravens,https://d9ioojyvhqpok.cloudfront.net/l3c3j9tg15hi8c9uwjh63zos2wq9,Peter Woods,"DL, Clemson",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
15,Tampa Bay Buccaneers,https://d9ioojyvhqpok.cloudfront.net/msuxos8ly0nc1k8hdoqwu4i474gy,Avieon Terrell,"CB, Clemson",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
16,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Ty Simpson,"QB, Alabama",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
17,Detroit Lions,https://d9ioojyvhqpok.cloudfront.net/pgwup27hjja1jlr4t28j28vhj0zg,Olaivavega Ioane,"IOL, Penn State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
18,Minnesota Vikings,https://d9ioojyvhqpok.cloudfront.net/k1ggxqxvbcnv1mayof382efyw1jh,Jeremiyah Love,"RB, Notre Dame",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
19,Carolina Panthers,https://d9ioojyvhqpok.cloudfront.net/fr0fbqfjezey73pseroeemh6dkdb,Sonny Styles,"LB, Ohio State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
20,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Kadyn Proctor,"OT, Alabama",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
21,Pittsburgh Steelers,https://d9ioojyvhqpok.cloudfront.net/1dn51oaq9jcv4ru5y8d0ia6zi2v9,Caleb Lomu,"OT, Utah",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
22,Los Angeles Chargers,https://d9ioojyvhqpok.cloudfront.net/j4p8yqb1an79ku7jag1o2n7zn7h1,T.J. Parker,"EDGE, Clemson",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
23,Philadelphia Eagles,https://d9ioojyvhqpok.cloudfront.net/1ldfq04ko2t2zhj98gk9ivjavhtj,Kenyon Sadiq,"TE, Oregon",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
24,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Kevin Concepcion,"WR, Texas A&M",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
25,Chicago Bears,https://d9ioojyvhqpok.cloudfront.net/deocbi3xlwoftxf811tstkfpwco0,Caleb Banks,"DL, Florida",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
26,Buffalo Bills,https://d9ioojyvhqpok.cloudfront.net/a12blaj51bmw2yl495jrpzqzlmx3,Denzel Boston,"WR, Washington",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
27,San Francisco 49Ers,https://d9ioojyvhqpok.cloudfront.net/ir7u6astb3jm8rtcwnnzffzgjj7u,Cashius Howell,"EDGE, Texas A&M",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
28,Houston Texans,https://d9ioojyvhqpok.cloudfront.net/vldmo1l0bjoegyp2z92vnjrvyu15,Emmanuel Pregnon,"IOL, Oregon",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
29,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Brandon Cisse,"CB, South Carolina",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
30,New England Patriots,https://d9ioojyvhqpok.cloudfront.net/vtc481ivfignu5ryapf3p5earoms,Gennings Dunker,"OT, Iowa",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
31,Denver Broncos,https://d9ioojyvhqpok.cloudfront.net/0l6xxqizh73gkq4mqqlc9lrsj1vl,Kayden McDonald,"DL, Ohio State",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
32,Seattle Seahawks,https://d9ioojyvhqpok.cloudfront.net/vc8adiakazhr4lp4ri5nfq7fo3x3,Colton Hood,"CB, Tennessee",Official MDDB Mock Draft,/mock-draft-2026,01/17/26
1,Las Vegas Raiders,https://d9ioojyvhqpok.cloudfront.net/wce65esozohwhhfu9buy5wcnsoq3,Fernando Mendoza,"QB, Indiana",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
2,New York Jets,https://d9ioojyvhqpok.cloudfront.net/q24gwl057wr8m45j721lyzcmo02y,Rueben Bain,"EDGE, Miami (FL)",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
3,Arizona Cardinals,https://d9ioojyvhqpok.cloudfront.net/5odyoaskz0s5ihgt1xe4k8dh098l,Arvell Reese,"LB, Ohio State",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
4,Tennessee Titans,https://d9ioojyvhqpok.cloudfront.net/plyeetviei2ftzcsdi12xk7a0wc4,Carnell Tate,"WR, Ohio State",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
5,New York Giants,https://www.nflmockdraftdatabase.com/assets/logos/giants_alt.svg,Francis Mauigoa,"OT, Miami (FL)",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
6,Cleveland Browns,https://d9ioojyvhqpok.cloudfront.net/xsthe9aa7zugcfnftaqb5oalxaz5,Spencer Fano,"OT, Utah",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
7,Washington Commanders,https://d9ioojyvhqpok.cloudfront.net/w6k4qaiynbvyn306zrzrrj6w555b,David Bailey,"EDGE, Texas Tech",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
8,New Orleans Saints,https://d9ioojyvhqpok.cloudfront.net/4eilxubn810qt0g49si3lufpmna5,Keldric Faulk,"EDGE, Auburn",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
9,Kansas City Chiefs,https://d9ioojyvhqpok.cloudfront.net/c446x9vx8lq2j6p7zkcfsihiokog,Jeremiyah Love,"RB, Notre Dame",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
10,Cincinnati Bengals,https://d9ioojyvhqpok.cloudfront.net/o65f4ic0q1imb3plaektqj503ea9,Caleb Downs,"S, Ohio State",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
11,Miami Dolphins,https://d9ioojyvhqpok.cloudfront.net/lzktfr6dhb3aifr0duiamn4gf2qr,Jermod McCoy,"CB, Tennessee",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
12,Dallas Cowboys,https://d9ioojyvhqpok.cloudfront.net/zsuzkt2f9wsdhd2jop9y52t0o23v,Mansoor Delane,"CB, LSU",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
13,Los Angeles Rams,https://d9ioojyvhqpok.cloudfront.net/pdmammif0sowou8yealaa04xvul9,Caleb Lomu,"OT, Utah",Pro Football Network,/mock-drafts/2026/pro-football-network-2026-jacob-infante?date=2026-01-17,01/17/26
